epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
37,3618.81,1.21056,1.20503,2.8225,0.00449,0.41841,0.75135,0.67817,0.71237,0.51774,0.71843,0.65008,0.67633,0.4644,1.42977,1.82297,5.98569,0.00718,0,0.00030496,0.00030496,0.00030496
38,3700.83,1.17027,1.19387,2.78321,0.00442,0.41011,0.75092,0.67598,0.71604,0.52445,0.72213,0.65518,0.68243,0.46701,1.47064,1.82037,5.80041,0.0076,0,0.00030232,0.00030232,0.00030232
39,3795.57,1.17154,1.17257,2.67891,0.00421,0.40553,0.78376,0.65845,0.71387,0.52052,0.74108,0.64297,0.68136,0.46353,1.46412,1.91866,5.99696,0.00757,0,0.00029968,0.00029968,0.00029968
40,3864.94,1.15253,1.16912,2.63682,0.00425,0.40941,0.70995,0.67085,0.69893,0.52187,0.73926,0.63286,0.67881,0.46603,1.40447,1.87796,6.20638,0.00739,0,0.00029704,0.00029704,0.00029704
41,3950.57,1.1637,1.1738,2.63987,0.00436,0.42446,0.70384,0.66421,0.69891,0.51868,0.67515,0.67513,0.67442,0.46675,1.47406,1.90857,6.36249,0.00788,0,0.0002944,0.0002944,0.0002944
42,4039.34,1.14626,1.1471,2.62312,0.00435,0.39939,0.72548,0.66077,0.70248,0.5215,0.71768,0.66449,0.68805,0.4706,1.46568,1.77308,6.07118,0.00743,0,0.00029176,0.00029176,0.00029176
43,4133.11,1.1219,1.10458,2.52605,0.00426,0.40119,0.75985,0.65117,0.69414,0.51117,0.74134,0.63949,0.68496,0.46574,1.51465,1.76465,6.4799,0.00805,0,0.00028912,0.00028912,0.00028912
44,4232.29,1.15289,1.15056,2.54225,0.00437,0.41047,0.74205,0.69553,0.71404,0.53202,0.78033,0.65321,0.68914,0.46424,1.4489,1.74913,6.30829,0.0075,0,0.00028648,0.00028648,0.00028648
45,4325.51,1.13773,1.13232,2.53753,0.00425,0.39737,0.80231,0.63316,0.7058,0.53571,0.78298,0.62564,0.68666,0.46075,1.44317,1.85709,5.94476,0.00744,0,0.00028384,0.00028384,0.00028384
46,4422.39,1.12462,1.11947,2.52195,0.00425,0.40588,0.77607,0.68956,0.74129,0.54382,0.81104,0.63403,0.6997,0.47284,1.46004,1.87017,5.51953,0.00741,0,0.0002812,0.0002812,0.0002812
47,4495,1.13768,1.12694,2.46796,0.00435,0.40132,0.80205,0.62648,0.71855,0.53811,0.75071,0.64639,0.68886,0.45145,1.46453,1.81578,5.8244,0.0076,0,0.00027856,0.00027856,0.00027856
48,4579.91,1.11251,1.12539,2.36027,0.00407,0.39282,0.72689,0.67586,0.70994,0.54073,0.7353,0.65906,0.69188,0.47762,1.44312,1.77491,5.95386,0.00743,0,0.00027592,0.00027592,0.00027592
49,4659.09,1.14176,1.12939,2.50363,0.0042,0.3959,0.76426,0.68419,0.73166,0.53791,0.7636,0.67535,0.70475,0.47439,1.46008,1.80673,5.82949,0.00749,0,0.00027328,0.00027328,0.00027328
50,4758.99,1.13012,1.13111,2.43893,0.00401,0.39293,0.75188,0.69477,0.71867,0.54131,0.79405,0.63736,0.68859,0.45957,1.44887,1.87475,5.96486,0.00736,0,0.00027064,0.00027064,0.00027064
51,4826.84,1.10343,1.12669,2.37426,0.00403,0.40808,0.77368,0.66286,0.70913,0.52683,0.74156,0.67563,0.69014,0.45783,1.46433,2.06915,6.29105,0.00749,0,0.000268,0.000268,0.000268
52,4900.37,1.07778,1.07952,2.29202,0.00396,0.38053,0.76599,0.6872,0.71461,0.53734,0.71723,0.67736,0.68209,0.47996,1.44906,1.93005,5.9389,0.00731,0,0.00026536,0.00026536,0.00026536
53,4992.75,1.06271,1.04917,2.27555,0.00387,0.38016,0.74579,0.67979,0.70758,0.53069,0.76514,0.65269,0.6988,0.46908,1.45967,1.99752,5.99892,0.00745,0,0.00026272,0.00026272,0.00026272
54,5109.68,1.06713,1.08315,2.27373,0.00383,0.3882,0.79197,0.65894,0.71799,0.52875,0.80543,0.63013,0.69572,0.46152,1.49451,1.90764,6.15407,0.00804,0,0.00026008,0.00026008,0.00026008
55,5195.07,1.08474,1.06714,2.28311,0.00402,0.39426,0.76902,0.66642,0.71834,0.5488,0.75048,0.67723,0.70711,0.4661,1.41282,1.84675,5.94882,0.00714,0,0.00025744,0.00025744,0.00025744
56,5268.38,1.0708,1.06974,2.2577,0.00391,0.39303,0.77554,0.69621,0.73459,0.54818,0.76148,0.66077,0.70297,0.4713,1.40347,1.92343,6.10411,0.00709,0,0.0002548,0.0002548,0.0002548
57,5351.05,1.07126,1.07187,2.29041,0.00397,0.38672,0.77555,0.66566,0.71997,0.5495,0.76708,0.66662,0.69225,0.47489,1.44461,2.0121,6.21595,0.00755,0,0.00025216,0.00025216,0.00025216
58,5455.25,1.10089,1.11333,2.28247,0.00386,0.37836,0.75631,0.67528,0.71943,0.53762,0.76325,0.65562,0.69909,0.46682,1.41905,2.10883,5.87537,0.00745,0,0.00024952,0.00024952,0.00024952
59,5600.27,1.03609,1.02148,2.1822,0.0039,0.3791,0.7648,0.68026,0.71398,0.55108,0.71946,0.68343,0.69439,0.47703,1.45708,1.83572,5.97655,0.00749,0,0.00024688,0.00024688,0.00024688
60,5660.91,1.04113,1.01249,2.13902,0.0037,0.36291,0.74289,0.70458,0.7139,0.54287,0.75429,0.64564,0.67703,0.46889,1.43542,1.96369,6.26785,0.00754,0,0.00024424,0.00024424,0.00024424
61,5723.61,1.03439,1.07136,2.18455,0.00358,0.3806,0.76667,0.67078,0.70955,0.53511,0.76284,0.67447,0.70216,0.46291,1.442,1.99847,5.98633,0.00736,0,0.0002416,0.0002416,0.0002416
62,5817.35,1.03589,1.04075,2.2398,0.00386,0.38296,0.7934,0.65307,0.71514,0.54227,0.7592,0.62682,0.67763,0.46452,1.47827,2.21435,6.48646,0.0074,0,0.00023896,0.00023896,0.00023896
63,5907.12,1.04437,1.0396,2.27362,0.00373,0.37326,0.80655,0.68281,0.7237,0.54767,0.77308,0.64988,0.69206,0.47656,1.45248,2.12985,5.62844,0.00709,0,0.00023632,0.00023632,0.00023632
